projectandfeature,methodname,totaltraces,truetraces,precision,recall
dragonflybsd-ndebug,Classic vector model,2,2,0.0,0.0
dragonflybsd-libusb_global_include_file,Classic vector model,1307,13,0.0038255547054322878,0.38461538461538464
dragonflybsd-notyet,Classic vector model,1,7,0.0,0.0
dragonflybsd-__dragonfly__,Classic vector model,637,2,0.0,0.0
dragonflybsd-sprintf_char,Classic vector model,98,4,0.04081632653061224,1.0
dragonflybsd-_sys_ioctl_h_,Classic vector model,1062,2,0.0,0.0
dragonflybsd-yyparse_param,Classic vector model,426,2,0.004694835680751174,1.0
dragonflybsd-ni_withscopeid,Classic vector model,1412,3,0.0,0.0
dragonflybsd-res_use_edns0,Classic vector model,1759,5,0.0,0.0
dragonflybsd-_st_fsmid_present_,Extended boolean,1,3,0.0,0.0
dragonflybsd-words_bigendian,Extended boolean,4,3,0.75,1.0
dragonflybsd-has_inet6_structs,Extended boolean,9,2,0.0,0.0
dragonflybsd-netidlen,Extended boolean,2,2,1.0,1.0
dragonflybsd-have_stropts_h,Extended boolean,1,2,1.0,0.5
dragonflybsd-hesiod,Extended boolean,8,3,0.375,1.0
dragonflybsd-__linux__,Extended boolean,19,3,0.10526315789473684,0.6666666666666666
dragonflybsd-_kernel,Extended boolean,12,6,0.08333333333333333,0.16666666666666666
dragonflybsd-hash_statistics,Extended boolean,11,4,0.0,0.0
dragonflybsd-portmap,Extended boolean,9,6,0.6666666666666666,1.0
dragonflybsd-nelements,Extended boolean,2,2,1.0,1.0
dragonflybsd-__x86_64__,Extended boolean,4,2,0.0,0.0
dragonflybsd-colorls,Extended boolean,3,5,0.6666666666666666,0.4
dragonflybsd-boot2,Extended boolean,2,2,1.0,1.0
dragonflybsd-notdef,Extended boolean,1,9,1.0,0.1111111111111111
dragonflybsd-__gnuc__,Extended boolean,6,6,0.6666666666666666,0.6666666666666666
dragonflybsd-_pthreads_debugging,Extended boolean,7,5,0.0,0.0
dragonflybsd-sysv_sems,Extended boolean,2,3,0.0,0.0
dragonflybsd-yydebug,Extended boolean,3,2,0.6666666666666666,1.0
dragonflybsd-zallocdebug,Extended boolean,1,2,0.0,0.0
dragonflybsd-encryption,Extended boolean,30,8,0.26666666666666666,1.0
dragonflybsd-krb5,Extended boolean,4,3,0.25,0.3333333333333333
dragonflybsd-sra,Extended boolean,27,3,0.1111111111111111,1.0
dragonflybsd-whistle,Extended boolean,12,2,0.16666666666666666,1.0
dragonflybsd-_pax_,Extended boolean,26,2,0.07692307692307693,1.0
